,Sumo__Plant__Influent1__T,Sumo__Plant__Influent__param__TCOD,Sumo__Plant__Influent1__param__TKN,Sumo__Plant__Influent1__param__TP,Sumo__Plant__Influent__param__Q
2022-03-01 23:15:00,13.555,730.0,76.0,8.4,759.924
2022-03-01 23:30:00,13.555,730.0,76.0,8.4,142.702
2022-03-01 23:45:00,13.555,730.0,76.0,8.4,394.574
2022-03-02 00:00:00,13.776,730.0,76.0,8.4,427.646
2022-03-02 00:15:00,13.776,730.0,76.0,8.4,693.599
2022-03-02 00:30:00,13.776,730.0,76.0,8.4,811.554
2022-03-02 00:45:00,13.776,730.0,76.0,8.4,932.738
2022-03-02 01:00:00,13.776,730.0,76.0,8.4,708.632
2022-03-02 01:15:00,13.776,730.0,76.0,8.4,124.208
2022-03-02 01:30:00,13.776,730.0,76.0,8.4,838.202
2022-03-02 01:45:00,13.776,730.0,76.0,8.4,22.1988
2022-03-02 02:00:00,13.776,730.0,76.0,8.4,61.4603
2022-03-02 02:15:00,13.776,730.0,76.0,8.4,103.493
2022-03-02 02:30:00,13.776,730.0,76.0,8.4,503.181
2022-03-02 02:45:00,13.776,730.0,76.0,8.4,635.48
2022-03-02 03:00:00,13.776,730.0,76.0,8.4,337.035
2022-03-02 03:15:00,13.776,730.0,76.0,8.4,206.155
2022-03-02 03:30:00,13.776,730.0,76.0,8.4,16.553
2022-03-02 03:45:00,13.776,730.0,76.0,8.4,398.404
2022-03-02 04:00:00,13.776,730.0,76.0,8.4,492.155
2022-03-02 04:15:00,13.776,730.0,76.0,8.4,434.137
2022-03-02 04:30:00,13.776,730.0,76.0,8.4,385.772
2022-03-02 04:45:00,13.776,730.0,76.0,8.4,177.847
2022-03-02 05:00:00,13.776,730.0,76.0,8.4,291.756
2022-03-02 05:15:00,13.776,730.0,76.0,8.4,211.163
2022-03-02 05:30:00,13.776,730.0,76.0,8.4,74.5861
2022-03-02 05:45:00,13.776,730.0,76.0,8.4,21.2161
2022-03-02 06:00:00,13.776,730.0,76.0,8.4,432.596
2022-03-02 06:15:00,13.776,730.0,76.0,8.4,2.51469
2022-03-02 06:30:00,13.776,730.0,76.0,8.4,217.945
2022-03-02 06:45:00,13.776,730.0,76.0,8.4,175.982
2022-03-02 07:00:00,13.776,730.0,76.0,8.4,1037.7
2022-03-02 07:15:00,13.776,730.0,76.0,8.4,644.974
2022-03-02 07:30:00,13.776,730.0,76.0,8.4,1055.71
2022-03-02 07:45:00,13.776,730.0,76.0,8.4,685.853
2022-03-02 08:00:00,13.776,730.0,76.0,8.4,654.173
2022-03-02 08:15:00,13.776,730.0,76.0,8.4,984.762
2022-03-02 08:30:00,13.776,730.0,76.0,8.4,1238.84
2022-03-02 08:45:00,13.776,730.0,76.0,8.4,505.296
2022-03-02 09:00:00,13.776,730.0,76.0,8.4,645.85
2022-03-02 09:15:00,13.776,730.0,76.0,8.4,1449.65
2022-03-02 09:30:00,13.776,730.0,76.0,8.4,455.311
2022-03-02 09:45:00,13.776,730.0,76.0,8.4,1117.98
2022-03-02 10:00:00,13.776,730.0,76.0,8.4,427.042
2022-03-02 10:15:00,13.776,730.0,76.0,8.4,414.771
2022-03-02 10:30:00,13.776,730.0,76.0,8.4,1057.98
2022-03-02 10:45:00,13.776,730.0,76.0,8.4,454.136
2022-03-02 11:00:00,13.776,730.0,76.0,8.4,706.822
2022-03-02 11:15:00,13.776,730.0,76.0,8.4,433.783
2022-03-02 11:30:00,13.776,730.0,76.0,8.4,796.756
2022-03-02 11:45:00,13.776,730.0,76.0,8.4,434.217
2022-03-02 12:00:00,13.776,730.0,76.0,8.4,688.96
2022-03-02 12:15:00,13.776,730.0,76.0,8.4,1301.34
2022-03-02 12:30:00,13.776,730.0,76.0,8.4,979.522
2022-03-02 12:45:00,13.776,730.0,76.0,8.4,373.202
2022-03-02 13:00:00,13.776,730.0,76.0,8.4,1138.0
2022-03-02 13:15:00,13.776,730.0,76.0,8.4,344.121
2022-03-02 13:30:00,13.776,730.0,76.0,8.4,478.425
