Unnamed: 0,Sumo__Plant__Influent1__T,Sumo__Plant__Influent__param__TCOD,Sumo__Plant__Influent1__param__TKN,Sumo__Plant__Influent1__param__TP,Sumo__Plant__Influent__param__Q
2022-03-04 02:00:00,13.961,730.0,76.0,8.4,5107.749
2022-03-04 03:00:00,13.961,730.0,76.0,8.4,9467.184
2022-03-04 04:00:00,13.961,730.0,76.0,8.4,8952.82014
2022-03-04 05:00:00,13.961,730.0,76.0,8.4,4360.164
2022-03-04 06:00:00,13.961,730.0,76.0,8.4,6093.496319999999
2022-03-04 07:00:00,13.961,730.0,76.0,8.4,7832.58414
2022-03-04 08:00:00,13.961,730.0,76.0,8.4,20708.214000000004
2022-03-04 09:00:00,13.961,730.0,76.0,8.4,17653.865999999998
2022-03-04 10:00:00,13.961,730.0,76.0,8.4,20522.394
2022-03-04 11:00:00,13.961,730.0,76.0,8.4,23301.534
2022-03-04 12:00:00,13.961,730.0,76.0,8.4,22580.394
2022-03-04 13:00:00,13.961,730.0,76.0,8.4,13949.646
2022-03-04 14:00:00,13.961,730.0,76.0,8.4,14735.97
2022-03-04 15:00:00,13.961,730.0,76.0,8.4,19940.076
2022-03-04 16:00:00,13.961,730.0,76.0,8.4,19568.100000000002
2022-03-04 17:00:00,13.961,730.0,76.0,8.4,14420.598
2022-03-04 18:00:00,13.961,730.0,76.0,8.4,15397.548
2022-03-04 19:00:00,13.961,730.0,76.0,8.4,16577.586
2022-03-04 20:00:00,13.961,730.0,76.0,8.4,18691.98
2022-03-04 21:00:00,13.961,730.0,76.0,8.4,5275.788
2022-03-04 22:00:00,13.961,730.0,76.0,8.4,18937.613999999998
2022-03-04 23:00:00,13.961,730.0,76.0,8.4,9499.566
2022-03-05 00:00:00,13.839999999999998,730.0,76.0,8.4,13916.676
2022-03-05 01:00:00,13.839999999999998,730.0,76.0,8.4,9766.884
2022-03-05 02:00:00,13.839999999999998,730.0,76.0,8.4,9553.16214
2022-03-05 03:00:00,13.839999999999998,730.0,76.0,8.4,4983.145799999999
2022-03-05 04:00:00,13.839999999999998,730.0,76.0,8.4,7718.254199999999
2022-03-05 05:00:00,13.839999999999998,730.0,76.0,8.4,7146.336
2022-03-05 06:00:00,13.839999999999998,730.0,76.0,8.4,5355.4812
2022-03-05 07:00:00,13.839999999999998,730.0,76.0,8.4,4021.3158
2022-03-05 08:00:00,13.839999999999998,730.0,76.0,8.4,11048.826000000001
2022-03-05 09:00:00,13.839999999999998,730.0,76.0,8.4,20279.736
2022-03-05 10:00:00,13.839999999999998,730.0,76.0,8.4,28683.564
2022-03-05 11:00:00,13.839999999999998,730.0,76.0,8.4,24127.548
2022-03-05 12:00:00,13.839999999999998,730.0,76.0,8.4,23722.38
2022-03-05 13:00:00,13.839999999999998,730.0,76.0,8.4,21187.05
2022-03-05 14:00:00,13.839999999999998,730.0,76.0,8.4,19562.394
2022-03-05 15:00:00,13.839999999999998,730.0,76.0,8.4,20414.772
2022-03-05 16:00:00,13.839999999999998,730.0,76.0,8.4,18858.63
2022-03-05 17:00:00,13.839999999999998,730.0,76.0,8.4,11363.735999999999
2022-03-05 18:00:00,13.839999999999998,730.0,76.0,8.4,16763.874
2022-03-05 19:00:00,13.839999999999998,730.0,76.0,8.4,19131.918
2022-03-05 20:00:00,13.839999999999998,730.0,76.0,8.4,14850.552000000001
2022-03-05 21:00:00,13.839999999999998,730.0,76.0,8.4,10865.016000000001
2022-03-05 22:00:00,13.839999999999998,730.0,76.0,8.4,15510.125999999998
2022-03-05 23:00:00,13.839999999999998,730.0,76.0,8.4,8576.586000000001
2022-03-06 00:00:00,13.702,730.0,76.0,8.4,11499.351
2022-03-06 01:00:00,13.702,730.0,76.0,8.4,11198.482320000001
2022-03-06 02:00:00,13.702,730.0,76.0,8.4,10731.390000000001
2022-03-06 03:00:00,13.702,730.0,76.0,8.4,4018.9860000000003
2022-03-06 04:00:00,13.702,730.0,76.0,8.4,4732.0824
2022-03-06 05:00:00,13.702,730.0,76.0,8.4,6944.1444
2022-03-06 06:00:00,13.702,730.0,76.0,8.4,6174.2418
